Ranking by Total Referral Bonus Earned,User ID,Yesterday Referral Bonus Earned (BTC),Traded,Account Balance > 1 USDT,Time Invited
90,64501427,0.00000161 BTC,YES,YES,2021-01-13 23:17:21
92,116259257,0.00000140 BTC,YES,YES,2021-05-06 13:03:03
93,144784339,0.00000140 BTC,YES,YES,2021-05-06 19:24:57
91,147480841,0.00000140 BTC,YES,YES,2021-05-08 14:28:22
94,146326304,0.00000133 BTC,YES,YES,2021-05-07 20:19:24
95,147423096,0.00000125 BTC,YES,YES,2021-05-08 15:20:00
96,147429211,0.00000119 BTC,YES,YES,2021-05-08 13:47:55
97,96692621,0.00000118 BTC,YES,YES,2021-03-13 19:09:48
98,163409812,0.00000115 BTC,YES,YES,2021-05-19 14:39:59
99,95592378,0.00000104 BTC,YES,YES,2021-03-12 00:33:16
100,95896051,0.00000095 BTC,YES,YES,2021-03-12 14:25:40
102,55488422,0.00000092 BTC,YES,YES,2020-11-16 19:43:05
101,128260883,0.00000092 BTC,YES,YES,2021-05-06 15:09:57
104,152849218,0.00000091 BTC,YES,YES,2021-05-11 13:03:06
103,165660303,0.00000091 BTC,YES,YES,2021-05-21 18:09:27
105,76688784,0.00000086 BTC,YES,YES,2021-03-13 00:05:36
106,66473495,0.00000082 BTC,YES,YES,2021-01-31 16:33:04
107,147693772,0.00000078 BTC,YES,YES,2021-05-08 17:04:49
108,77628315,0.00000077 BTC,YES,YES,2021-02-09 23:48:33
110,144762249,0.00000077 BTC,YES,YES,2021-05-06 19:09:43
109,145936644,0.00000077 BTC,YES,YES,2021-05-08 14:38:18
111,145646960,0.00000072 BTC,YES,YES,2021-05-07 11:17:33
112,148744406,0.00000068 BTC,YES,YES,2021-05-09 09:19:47
113,144796686,0.00000065 BTC,YES,YES,2021-05-06 19:40:49
115,120259058,0.00000056 BTC,YES,YES,2021-05-02 09:27:54
114,147304275,0.00000056 BTC,YES,YES,2021-05-08 12:06:39
117,96708627,0.00000051 BTC,YES,YES,2021-03-13 18:27:30
116,154800314,0.00000051 BTC,YES,YES,2021-05-12 14:43:08
118,148136095,0.00000046 BTC,YES,YES,2021-05-08 22:07:41
119,45562416,0.00000043 BTC,YES,YES,2020-11-26 22:34:14
120,55387753,0.00000040 BTC,YES,YES,2020-11-10 21:52:33
121,147327831,0.00000040 BTC,YES,NO,2021-05-08 12:26:20
122,55157372,0.00000036 BTC,YES,YES,2020-11-07 19:10:15
123,62064433,0.00000035 BTC,YES,YES,2021-01-13 03:06:39
124,146411186,0.00000035 BTC,YES,YES,2021-05-07 20:48:54
125,66603205,0.00000034 BTC,YES,YES,2021-01-14 14:30:16
126,147814800,0.00000033 BTC,YES,YES,2021-05-08 18:25:01
127,144129020,0.00000030 BTC,YES,YES,2021-05-06 17:27:01
